"","Ledger.Name","Project.No","Project.Description","Date","Period","Reference","Trans.Nbr","Ordernr","Order.Line.Nbr","Document.Type","Unique.Number","Amount","Narrative.1","Narrative.2","Narrative.3","Funding.Source","Accountnr","X","CapSentiment","CapSentiment_Cl"
"282","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","24/12/2019",6,"GJ002914",2,"",NA,"$JOURNAL",0,82134815,"Capitalise C100134","CROP","Correct Category Code","PIR","C100134.6885.00.00",NA,1.41421356237309,1
"284","20PLACT","C100139","PIR CROP Environmental/Geotechnical","24/12/2019",6,"GJ002914",2,"",NA,"$JOURNAL",0,1342923,"Capitalise C100139","CROP","Correct Category Code","PIR","C100139.6885.00.00",NA,1.41421356237309,1
"286","20PLACT","C100140","PIR CROP Mobilisation/Demobilisation","24/12/2019",6,"GJ002914",2,"",NA,"$JOURNAL",0,1931876,"Capitalise C100140","CROP","Correct Category Code","PIR","C100140.6885.00.00",NA,1.41421356237309,1
"12168","20PLACT","M404000","P-E Plant & Equip - Electrical Distribution","13/11/2019",5,"469611-685",29,"P042787",1,"APINVP",252964,2400,"MDB Upgrade","","MM Electrical Merchandising","MAINT","M404000.6230.01.00",NA,1.41421356237309,1
"235","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","31/07/2019",1,"RJ001405",10,"",NA,"$REVJRNL",233233,13333228,"Capital Dredging accrual","Jul-19","Jul-19","PIR","C100134.6106.02.01",NA,1.15470053837925,1
"243","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","31/08/2019",2,"RJ001444",18,"",NA,"$REVJRNL",239021,12609403,"Capital Dredging accrual","","Aug-19","PIR","C100134.6106.02.01",NA,1.15470053837925,1
"276","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","31/08/2019",4,"1028531020190831",5,"P040596",1,"APINVP",245770,725,"CROP 2-2 Advert extension","","West Australian Newspaper Limited","PIR","C100134.6860.02.00",NA,1.15470053837925,1
"578","20PLACT","C100264","Utah Truck Wash Upgrade (Water Hygiene)","8/10/2019",5,"INV-0138",1,"P041195",1,"APINVP",253318,21161,"Utah Truckwash Upgrade","","De.mem Akwa Pty Ltd","MIN1819","C100264.6105.28.00",NA,1.15470053837925,1
"579","20PLACT","C100264","Utah Truck Wash Upgrade (Water Hygiene)","28/11/2019",6,"INV-0220",2,"P041195",1,"APINVP",256225,21441,"Utah Truckwash Upgrade","","De.mem Akwa Pty Ltd","MIN1819","C100264.6105.28.00",NA,1.15470053837925,1
"580","20PLACT","C100264","Utah Truck Wash Upgrade (Water Hygiene)","20/12/2019",7,"INV-0277",3,"P041195",1,"APINVP",262701,43207,"Utah Truckwash Upgrade","","De.mem Akwa Pty Ltd","MIN1819","C100264.6105.28.00",NA,1.15470053837925,1
"8895","20PLACT","M302000","L-H Land & Buildings - Houses","8/08/2019",2,"00009862",121,"P039969",2,"APINVP",235508,385,"Shade Sail Upgrade","","West Coast Shade","MAINT","M302000.6230.02.00",NA,1.15470053837925,1
"4651","20PLACT","M301000","L-B Land & Buildings - Building","26/09/2019",4,"6421129",124,"P033503",1,"APINVP",248042,6980,"Fire System Site Graphic Upgrade","","Chubb Fire & Security Pty Ltd","MAINT","M301000.6105.02.00",NA,1.11803398874989,1
"14465","20PLACT","M410000","P-P Plant & Equip - Plant & Equipment","30/10/2019",4,"INV-0444",14,"P042994",1,"APINVP",249797,2966,"PL COPPERSHED FIRE SYSTEM UPGRADE","","Chupacarbra Pty Ltd - Allnorth Plumbing","MAINT","M410000.6105.03.00",NA,1.11803398874989,1
"228","20PLACT","C100134","PIR Channel Risk and Optimisation Project CROP General","30/06/2019",1,"RJ001356",2,"",NA,"$REVJRNL",227304,182356,"Capital Dredging accrual Jun19","Credit note 2019-004","Jan De Nul","PIR","C100134.6106.02.01",NA,1,1
"9351","20PLACT","M401000","P-C Plant & Equip - Conveyors System","8/12/2019",6,"JPS191208",18,"P039690",1,"APINVP",257908,3915,"CONVEYOR MC02 UPGRADE / PH","","JP Sperzel (Plant Maintenance & Engineer","MAINT","M401000.6105.02.00",NA,1,1
"524","20PLACT","C100253","Sample Station CV08 Access Platform","29/10/2019",4,"133359",1,"P041205",1,"APINVP",249751,9861,"Utah Sample Station Access Upgrade","","Goodline","MIN1819","C100253.6105.28.00",NA,0.894427190999916,1
"525","20PLACT","C100253","Sample Station CV08 Access Platform","28/11/2019",6,"135021",2,"P041205",1,"APINVP",256226,259888,"Utah Sample Station Access Upgrade","","Goodline","MIN1819","C100253.6105.28.00",NA,0.894427190999916,1
