FORMAT XLONE REPORT,DefnSheetName=_defntmp_,,,,,,,,,,,,,,,,
SET,Ledger Name,Project No,Project Description,Date,Period,Reference,Trans Nbr,Ordernr,Order Line Nbr,Document Type,Unique Number,Amount,Narrative 1,Narrative 2,Narrative 3,Funding Source,Accountnr
LIST,19PLACT,C100063,ICT Business Continuity/Disaster Recovery,30/06/2018,1,RJ000949,1,,,$REVJRNL,0,"-3,871",BCP/DR Project Hardware Costs,P020085/33,EOM PL Commitment accrual,MINOR,C100063.6885.00.00
LIST,19PLACT,C100064,KBIE Upgrades – Roads and Drainage along King Bay & Streckfu,30/06/2018,1,RJ000949,1,,,$REVJRNL,0,"-3,000",Consultancy Services,P025002/4,EOM PL Commitment accrual,MINOR,C100064.6100.01.00
LIST,19PLACT,C100064,KBIE Upgrades – Roads and Drainage along King Bay & Streckfu,30/06/2018,1,RJ000949,1,,,$REVJRNL,0,"-60,671",Drainage Upgrade Project Works,P024761/4,EOM PL Commitment accrual,MINOR,C100064.6105.01.00
LIST,19PLACT,C100064,KBIE Upgrades – Roads and Drainage along King Bay & Streckfu,30/06/2018,1,RJ000949,1,,,$REVJRNL,0,"-29,925",Notice of Variation 06,P028526/0,EOM PL Commitment accrual,MINOR,C100064.6105.24.00
LIST,19PLACT,C100064,KBIE Upgrades – Roads and Drainage along King Bay & Streckfu,30/06/2018,1,RJ000949,2,,,$REVJRNL,0,"-6,120",Notice of Variation 07,P028739/0,EOM PL Commitment accrual,MINOR,C100064.6105.24.00
LIST,19PLACT,C100085,PIR (IMOC) Tower & Building D & C Contract,30/06/2018,1,RJ000961,1,,,$REVJRNL,161967,"-2,760,217",Unposted Capital PO's for work performed,P011699 PINDAN CNTRACTING PTY LTD,PIR (IMOC) Tower & Building D & C Contra,PIR,C100085.6105.02.01
LIST,19PLACT,C100102,PIR IMOC Project Support Services - Construction,30/06/2018,1,RJ000961,1,,,$REVJRNL,161967,"-1,100",Unposted Capital PO's for work performed,P016405 AUSCO MODULAR PTY LIMITED,PIR IMOC Project Support Services - Cons,PIR,C100102.1101.02.01
LIST,19PLACT,C100102,PIR IMOC Project Support Services - Construction,30/06/2018,1,RJ000961,1,,,$REVJRNL,161967,"-2,585",Unposted Capital PO's for work performed,P028245 STRUCTURAL INTEGRITY ENGINEERING,PIR IMOC Project Support Services - Cons,PIR,C100102.6100.02.01
LIST,19PLACT,C100102,PIR IMOC Project Support Services - Construction,30/06/2018,1,RJ000961,2,,,$REVJRNL,161967,"-5,500",Unposted Capital PO's for work performed,P007596 RALPH BEATTIE BOSWORTH PTY LTD,PIR IMOC Project Support Services - Cons,PIR,C100102.6100.02.01
LIST,19PLACT,C100102,PIR IMOC Project Support Services - Construction,30/06/2018,1,RJ000961,3,,,$REVJRNL,161967,"-65,000",Unposted Capital PO's for work performed,P011807 NS PROJECTS PTY LTD,PIR IMOC Project Support Services - Cons,PIR,C100102.6100.02.01
LIST,19PLACT,C100102,PIR IMOC Project Support Services - Construction,30/06/2018,1,RJ000961,4,,,$REVJRNL,161967,"-15,378",Unposted Capital PO's for work performed,P011811 JACOBS,PIR IMOC Project Support Services - Cons,PIR,C100102.6100.02.01
LIST,19PLACT,C100102,PIR IMOC Project Support Services - Construction,30/06/2018,1,RJ000949,5,,,$REVJRNL,0,-4,Safety Auditing Services,P025844/6,EOM PL Commitment accrual,PIR,C100102.6100.02.01
LIST,19PLACT,C100133,PIR IMOC Internal Resource Cost,30/06/2018,1,RJ000970,1,,,$REVJRNL,0,"-1,916",Payroll Tax Accrual,30 June 2018,,PIR,C100133.6030.00.00
LIST,19PLACT,C100134,PIR Channel Risk and Optimisation Project CROP General,30/06/2018,1,RJ000965,1,,,$REVJRNL,0,"-19,969",Pre Dredge survey Processing,Precision Hydrographic Services; Inv: PH,Unposted Doc Accrual 054716,PIR,C100134.6110.02.01
